Date,Year,Month,MonthName,Account,Category,Note,Type,Amount,SignedAmount
2021-11-12 09:22:00,2021.0,11.0,2021-11,CUB - online payment,Allowance,From dad,Income,1000.0,1000.0
2021-11-12 08:20:00,2021.0,11.0,2021-11,CUB - online payment,Other,From stu,Income,240.0,240.0
2021-10-12 21:38:00,2021.0,10.0,2021-10,CUB - online payment,Food,Shopping,Expense,241.0,-241.0
2021-10-12 20:55:00,2021.0,10.0,2021-10,CUB - online payment,Food,Momos,Expense,195.0,-195.0
2021-09-12 20:03:00,2021.0,9.0,2021-09,CUB - online payment,Food,Snack with bharath,Expense,40.0,-40.0
2021-09-12 14:01:00,2021.0,9.0,2021-09,CUB - online payment,Food,Lunch with company,Expense,280.0,-280.0
2021-09-12 09:56:00,2021.0,9.0,2021-09,CUB - online payment,Food,Milk with bharath,Expense,25.0,-25.0
2021-09-12 08:47:00,2021.0,9.0,2021-09,CUB - online payment,Food,Breakfast with stu,Expense,110.0,-110.0
2021-08-12 14:15:00,2021.0,8.0,2021-08,CUB - online payment,Food,Lunch with stu,Expense,100.0,-100.0
2021-08-12 14:15:00,2021.0,8.0,2021-08,Cash,Food,5 star,Expense,15.0,-15.0
2021-08-12 07:17:00,2021.0,8.0,2021-08,CUB - online payment,Food,Milk,Expense,10.0,-10.0
2021-07-12 09:54:00,2021.0,7.0,2021-07,CUB - online payment,Food,Milk with bharath,Expense,25.0,-25.0
2021-07-12 07:59:00,2021.0,7.0,2021-07,CUB - online payment,Food,Horlicks,Expense,15.0,-15.0
2021-06-12 21:59:00,2021.0,6.0,2021-06,CUB - online payment,Food,Milk with bharath,Expense,25.0,-25.0
2021-06-12 20:07:00,2021.0,6.0,2021-06,CUB - online payment,Apparel,Shoe,Expense,500.0,-500.0
2021-06-12 19:57:00,2021.0,6.0,2021-06,CUB - online payment,Apparel,Cap,Expense,140.0,-140.0
2021-06-12 14:08:00,2021.0,6.0,2021-06,CUB - online payment,Food,Lunch with stu,Expense,150.0,-150.0
2021-05-12 19:45:00,2021.0,5.0,2021-05,CUB - online payment,Food,Milk with bharath,Expense,25.0,-25.0
2021-05-12 18:41:00,2021.0,5.0,2021-05,CUB - online payment,Apparel,Full hand and a hoodie,Expense,1800.0,-1800.0
2021-05-12 12:23:00,2021.0,5.0,2021-05,CUB - online payment,Household,Rent,Expense,4800.0,-4800.0
2021-05-12 12:23:00,2021.0,5.0,2021-05,CUB - online payment,Allowance,From dad,Income,8000.0,8000.0
2021-04-12 21:05:00,2021.0,4.0,2021-04,CUB - online payment,Food,Dinner,Expense,324.0,-324.0
2021-04-12 20:20:00,2021.0,4.0,2021-04,CUB - online payment,Food,Snack,Expense,65.0,-65.0
2021-04-12 13:54:00,2021.0,4.0,2021-04,CUB - online payment,Other,For company,Expense,30.0,-30.0
2021-04-12 10:13:00,2021.0,4.0,2021-04,CUB - online payment,Food,Breakfast,Expense,200.0,-200.0
2021-03-12 21:59:00,2021.0,3.0,2021-03,CUB - online payment,Food,Milk with bharath,Expense,25.0,-25.0
2021-03-12 21:59:00,2021.0,3.0,2021-03,CUB - online payment,Apparel,Belt,Expense,130.0,-130.0
2021-03-12 21:28:00,2021.0,3.0,2021-03,CUB - online payment,Apparel,Mask,Expense,20.0,-20.0
2021-03-12 21:28:00,2021.0,3.0,2021-03,CUB - online payment,Food,Snack,Expense,40.0,-40.0
2021-03-12 21:28:00,2021.0,3.0,2021-03,CUB - online payment,Allowance,From dad,Income,1000.0,1000.0
2021-02-12 20:07:00,2021.0,2.0,2021-02,CUB - online payment,Food,Ice cream,Expense,504.0,-504.0
2021-02-12 19:48:00,2021.0,2.0,2021-02,CUB - online payment,Food,Vadapaav,Expense,75.0,-75.0
2021-01-12 19:57:00,2021.0,1.0,2021-01,CUB - online payment,Beauty,Showergel,Expense,196.0,-196.0
2021-01-12 14:00:00,2021.0,1.0,2021-01,CUB - online payment,Food,Lunch with company,Expense,160.0,-160.0
,,,,CUB - online payment,Gift,Bharath birthday,Expense,115.0,-115.0
,,,,CUB - online payment,Food,Lunch with company,Expense,128.0,-128.0
,,,,CUB - online payment,Food,Breakfast,Expense,70.0,-70.0
,,,,CUB - online payment,Food,Lunch with company,Expense,40.0,-40.0
,,,,CUB - online payment,Food,Dinner,Expense,50.0,-50.0
,,,,CUB - online payment,Food,Panipoori,Expense,40.0,-40.0
,,,,CUB - online payment,Food,Breakfast,Expense,40.0,-40.0
,,,,CUB - online payment,Food,Snack,Expense,94.0,-94.0
,,,,CUB - online payment,Food,Zomato,Expense,269.4,-269.4
,,,,CUB - online payment,Food,Dinner with gowdham,Expense,120.0,-120.0
,,,,CUB - online payment,Food,Dinner with gowdham,Expense,130.0,-130.0
,,,,CUB - online payment,Transportation,Rapido,Expense,35.0,-35.0
,,,,CUB - online payment,Food,Lunch with company,Expense,75.0,-75.0
,,,,CUB - online payment,Allowance,From dad,Income,2000.0,2000.0
,,,,CUB - online payment,Food,Breakfast,Expense,30.0,-30.0
,,,,CUB - online payment,Food,Beer,Expense,150.0,-150.0
,,,,CUB - online payment,Food,Snack,Expense,102.0,-102.0
,,,,CUB - online payment,Food,Panipoori,Expense,40.0,-40.0
,,,,CUB - online payment,Petty Cash,Cashback,Income,3.0,3.0
,,,,CUB - online payment,Food,Lunch with company,Expense,150.0,-150.0
,,,,CUB - online payment,Food,Breakfast,Expense,60.0,-60.0
,,,,CUB - online payment,Food,Lunch with company,Expense,145.0,-145.0
,,,,CUB - online payment,Transportation,Rapido,Expense,58.0,-58.0
,,,,CUB - online payment,Food,Dinner,Expense,95.0,-95.0
,,,,CUB - online payment,Food,Snack,Expense,15.0,-15.0
,,,,CUB - online payment,Food,Dinner,Expense,70.0,-70.0
,,,,CUB - online payment,Food,Panipoori,Expense,20.0,-20.0
,,,,CUB - online payment,Transportation,Rapido,Expense,58.0,-58.0
,,,,CUB - online payment,Transportation,Rapido,Expense,50.0,-50.0
,,,,CUB - online payment,Food,Dinner,Expense,179.0,-179.0
,,,,CUB - online payment,Food,Dinner,Expense,90.0,-90.0
,,,,CUB - online payment,Food,Lunch with company,Expense,97.0,-97.0
,,,,CUB - online payment,Transportation,Rapido,Expense,130.0,-130.0
,,,,CUB - online payment,Food,Lunch,Expense,875.0,-875.0
,,,,CUB - online payment,Other,Got from gobi,Income,2000.0,2000.0
